booking_id,passenger_id,flight_id,booking_date,status,seat_number,status_was_unknown,passport_hash,booking_total_amount,payment_count,payments_missing_amount,has_payment
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,16F,False,4efb262075049741,,0,,False
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,24B,False,03978005a743820a,13057.27,1,0.0,True
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,30F,False,b1707dae235ab6d5,4857.79,1,0.0,True
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,1B,False,40a94df810e6d7b3,36122.96,3,0.0,True
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,32C,False,0d904c0a00d1413c,13204.36,2,0.0,True
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,22A,False,8f6842578d1f9d52,7503.17,1,0.0,True
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,26E,False,b3133232f4c490ee,,0,,False
B1029,P1540,6F025,2025-06-06 11:37:36.951,CANCELLED,19C,False,0b5affd1b11b9d7a,,0,,False
B1030,P1946,6F236,2026-03-18 11:37:36.951,CANCELLED,21E,False,c2d530b5ad9f6fd8,,0,,False
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,1E,False,c13a000d0a5c754a,7056.42,1,0.0,True
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,18E,False,336622ed8eb5dad8,,0,,False
B1033,P1987,UK026,2025-05-06 11:37:36.951,UNKNOWN,19A,True,8506f80f02a9baa2,17076.39,3,1.0,True
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,22F,False,84303838454db6af,,0,,False
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,11D,False,da1fab35699fd5c8,,0,,False
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,5B,False,a8f799de7e08cff1,5144.89,1,0.0,True
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,33E,False,781b93c5561c3098,,0,,False
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,12D,False,8522a12c1596336f,,0,,False
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,11E,False,6e2dc7a0482e757d,24656.69,3,0.0,True
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,26B,False,9b766940aadd73e5,,0,,False
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,25C,False,1308ba93e26d6fdf,23580.18,2,0.0,True
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,24F,False,e234727f83a94795,14402.39,1,0.0,True
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,8E,False,5bb73a40c566f877,8291.6,1,0.0,True
B1044,P1282,6F174,2026-04-12 11:37:36.951,PENDING,16C,False,09127339a233846c,1199.88,1,0.0,True
B1045,P1057,SJ214,2026-03-19 11:37:36.951,UNKNOWN,18C,True,39884b90c6c7eb11,6732.21,3,1.0,True
B1046,P1813,UK059,2025-10-14 11:37:36.951,CONFIRMED,2C,False,9bc32ef94e2fcd6b,26282.31,2,0.0,True
B1047,P1833,6F151,2025-12-29 11:37:36.951,PENDING,7C,False,76bf429d846b4c2d,,0,,False
B1048,P1536,SJ236,2025-09-19 11:37:36.951,PENDING,18C,False,9e9be0c88d727e8b,,0,,False
B1049,P1072,SJ153,2025-07-28 11:37:36.951,UNKNOWN,3C,True,a5f31ffbdbac21d4,,0,,False
B1050,P1884,AI220,2026-01-15 11:37:36.951,PENDING,7D,False,1126e7f6f1167e6a,13350.33,1,0.0,True
B1051,P1922,6F028,2025-07-05 11:37:36.951,CANCELLED,16A,False,bec8713dad0050d3,10875.08,1,0.0,True
B1052,P1128,UK209,2025-12-30 11:37:36.951,CANCELLED,33B,False,0b9afd9e714bed2a,9827.3,1,0.0,True
B1053,P1598,UK216,2026-04-01 11:37:36.951,PENDING,28B,False,0d2e810e97c887cd,7702.52,2,0.0,True
B1054,P1841,AI132,2026-04-11 11:37:36.951,CANCELLED,19C,False,ab5683b780cdff96,,0,,False
B1055,P1425,6F012,2025-10-14 11:37:36.951,CANCELLED,13F,False,92d433ee23e9e3dd,,0,,False
B1056,P1947,UK173,2026-03-24 11:37:36.951,CANCELLED,15B,False,c42ea50382b3dd0e,3173.87,2,1.0,True
B1057,P1664,SJ047,2025-08-20 11:37:36.951,CANCELLED,14F,False,a1fca85c8dd95aaa,12211.2,2,0.0,True
B1058,P1693,SJ043,2025-12-07 11:37:36.951,PENDING,8C,False,60c7cb5d4714fe0e,,0,,False
B1059,P1124,UK140,2026-01-03 11:37:36.951,CONFIRMED,23B,False,3f2e6b596f3525cf,10839.07,1,0.0,True
B1060,P1066,6F086,2025-12-30 11:37:36.951,CONFIRMED,11A,False,3511582f3706da27,11681.98,1,0.0,True
B1061,P1005,6F114,2026-04-05 11:37:36.951,CANCELLED,19C,False,6a0cd5c9a397a26f,31579.8,3,0.0,True
B1062,P1636,UK153,2025-06-12 11:37:36.951,CANCELLED,15D,False,d21887d084e7138b,,0,,False
B1063,P1313,6F149,2025-05-19 11:37:36.951,CANCELLED,9A,False,fbccfa863956dd5c,,0,,False
B1064,P1325,UK145,2025-09-14 11:37:36.951,CONFIRMED,24E,False,5a90485077f8868a,14413.72,1,0.0,True
B1065,P1564,UK010,2026-03-06 11:37:36.951,CANCELLED,7B,False,257dc694477f7bb3,,0,,False
B1066,P1577,SJ003,2025-11-05 11:37:36.951,PENDING,1B,False,f3e35069cbacff82,,0,,False
B1067,P1825,SJ160,2025-07-23 11:37:36.951,PENDING,7F,False,ea0be18a5fa9c2da,17433.34,3,0.0,True
B1068,P1505,UK224,2025-11-22 11:37:36.951,PENDING,23A,False,4d564dd1a04368e5,5274.94,1,0.0,True
B1069,P1081,UK152,2025-08-02 11:37:36.951,CONFIRMED,16E,False,5f4e8498f300e7bd,14992.95,1,0.0,True
B1070,P1598,SJ034,2025-09-22 11:37:36.951,CANCELLED,15D,False,ae5d94bc4d9d75f1,5631.13,1,0.0,True
B1071,P1001,UK215,2025-12-21 11:37:36.951,CANCELLED,15F,False,7e57a3168de1b7da,,0,,False
B1072,P1203,UK089,2025-08-10 11:37:36.951,CANCELLED,18F,False,dc8ea947969c6875,,0,,False
B1073,P1661,6F180,2025-12-04 11:37:36.951,CONFIRMED,16A,False,a26e95383415594a,,0,,False
B1074,P1804,6F188,2025-09-25 11:37:36.951,CONFIRMED,7A,False,39a188d272c3da2e,,0,,False
B1075,P1403,UK131,2026-01-03 11:37:36.951,CONFIRMED,2F,False,a52a63f7936fcc5b,,0,,False
B1076,P1102,UK055,2025-05-04 11:37:36.951,CONFIRMED,12B,False,2d9100e79ed73e4e,8247.5,1,0.0,True
B1077,P1535,UK181,2025-05-03 11:37:36.951,PENDING,3A,False,568079b2fe85b05f,11261.7,2,0.0,True
B1078,P1367,6F077,2025-09-21 11:37:36.951,CONFIRMED,1B,False,ac83e77e4a9a2526,,0,,False
B1079,P1211,SJ085,2025-06-03 11:37:36.951,CONFIRMED,10D,False,f5db369f461d6730,,0,,False
B1080,P1576,SJ023,2025-06-05 11:37:36.951,CONFIRMED,22D,False,1e0ad46208c32118,21169.42,2,0.0,True
B1081,P1960,SJ202,2025-11-13 11:37:36.951,CANCELLED,29C,False,d1a228f49aeac1b0,,0,,False
B1082,P1208,SJ150,2025-09-09 11:37:36.951,CANCELLED,30A,False,3275019f1a84b50d,,0,,False
B1083,P1762,SJ116,2025-05-12 11:37:36.951,CANCELLED,9A,False,9661c0d360a77641,6777.38,1,0.0,True
B1084,P1896,6F270,2025-06-14 11:37:36.951,PENDING,16E,False,202c0927bce7bcc8,,0,,False
B1085,P1116,UK150,2026-03-24 11:37:36.951,PENDING,12A,False,b55dc1e2484838df,11410.8,1,0.0,True
B1086,P1627,SJ237,2026-02-16 11:37:36.951,CONFIRMED,5D,False,e53f55c885797b64,4873.96,2,0.0,True
B1087,P1748,AI221,2025-05-08 11:37:36.951,CANCELLED,2F,False,057137dbdb87b4a0,3191.92,2,0.0,True
B1088,P1477,SJ081,2026-03-25 11:37:36.951,PENDING,31A,False,add5bf00e73c0439,7375.1,1,0.0,True
B1089,P1104,UK189,2025-09-03 11:37:36.951,CANCELLED,25F,False,0f0320e280cbaaae,,0,,False
B1090,P1494,SJ068,2025-05-16 11:37:36.951,PENDING,31C,False,f6d393b0ac25b19d,,0,,False
B1091,P1770,6F043,2025-08-18 11:37:36.951,PENDING,25D,False,14d3380fdc24c772,,0,,False
B1092,P1045,UK187,2026-03-18 11:37:36.951,CONFIRMED,16D,False,c56031fe777d0b83,15898.93,3,0.0,True
B1093,P1822,UK074,2025-05-11 11:37:36.951,CONFIRMED,25E,False,a0de13eee9eba3bc,,0,,False
B1094,P1330,UK004,2026-01-07 11:37:36.951,PENDING,24C,False,3dac3eabd27cb0c7,17560.29,2,0.0,True
B1095,P1215,6F194,2025-07-30 11:37:36.951,CONFIRMED,14B,False,6df535be9215edc6,,0,,False
B1096,P1981,UK068,2026-01-03 11:37:36.951,PENDING,12B,False,8459ffcd40b8f241,18163.89,2,0.0,True
B1097,P1959,6F017,2025-08-26 11:37:36.951,UNKNOWN,34F,True,13b45c913b44c6a1,,0,,False
B1098,P1491,6F245,2025-10-15 11:37:36.951,UNKNOWN,13D,True,1c9f5995927ef419,10455.66,1,0.0,True
B1099,P1812,6F254,2025-12-07 11:37:36.951,CONFIRMED,26E,False,505607d04726192c,,0,,False
B1100,P1921,UK077,2026-03-05 11:37:36.951,CONFIRMED,16D,False,f4aba2a6107e204c,,0,,False
B1101,P1844,AI029,2025-07-19 11:37:36.951,CONFIRMED,3D,False,bf6d5a3b77df4ae9,2214.47,1,0.0,True
B1102,P1448,SJ196,2025-10-06 11:37:36.951,UNKNOWN,15F,True,ee777e459dd65683,24626.69,2,0.0,True
B1103,P1535,AI242,2025-08-08 11:37:36.951,CANCELLED,20D,False,5ae3c0c1e4a49e84,14062.55,2,0.0,True
B1104,P1510,AI242,2025-09-12 11:37:36.951,CANCELLED,16E,False,5e1dcf1239c57e13,,0,,False
B1105,P1457,SJ044,2025-09-11 11:37:36.951,CONFIRMED,19F,False,af3ec99a37663c33,14294.21,1,0.0,True
B1106,P1546,UK063,2025-09-01 11:37:36.951,CONFIRMED,21F,False,0cfc4579ca285e6a,,1,1.0,True
B1107,P1535,AI056,2025-05-19 11:37:36.951,CONFIRMED,30F,False,b41d8d721b0397dd,,0,,False
B1108,P1539,UK207,2025-10-11 11:37:36.951,CANCELLED,14B,False,30f71741f53536ea,,0,,False
B1109,P1483,UK166,2025-12-03 11:37:36.951,CANCELLED,33D,False,4d6aa6e5a21abf2e,13080.08,1,0.0,True
B1110,P1975,6F261,2025-12-17 11:37:36.951,PENDING,12B,False,7c9dee96c605e214,,0,,False
B1111,P1999,UK134,2025-12-25 11:37:36.951,CANCELLED,34A,False,e0b674888f28e407,,1,1.0,True
B1112,P1015,6F152,2025-10-02 11:37:36.951,PENDING,27A,False,44aaa880604acb20,20662.78,2,0.0,True
B1113,P1570,SJ089,2025-11-23 11:37:36.951,CONFIRMED,5A,False,4a95be94dd68fa2a,9457.62,1,0.0,True
B1114,P1976,6F123,2025-09-26 11:37:36.951,CANCELLED,2E,False,db4920bb4f2fc546,8187.33,1,0.0,True
B1115,P1242,AI025,2025-08-23 11:37:36.951,CONFIRMED,10A,False,e31e52be2e32a1e3,8185.02,1,0.0,True
B1116,P1949,6F030,2025-12-05 11:37:36.951,CONFIRMED,19B,False,2f9d47dc133c2e7e,9883.49,1,0.0,True
B1117,P1206,SJ222,2025-09-02 11:37:36.951,CONFIRMED,28F,False,82c65cfd83ef1507,24642.71,2,0.0,True
B1118,P1911,UK109,2026-04-03 11:37:36.951,CONFIRMED,34B,False,7de13af434920bcc,,1,1.0,True
B1119,P1270,SJ117,2025-11-25 11:37:36.951,CANCELLED,21F,False,6f2afbff358279ff,22268.71,2,0.0,True
B1120,P1760,SJ142,2025-08-12 11:37:36.951,CONFIRMED,12D,False,9a3356173de09b21,2571.48,3,1.0,True
B1121,P1993,SJ142,2025-06-01 11:37:36.951,PENDING,17C,False,01e052139ab59c2c,,0,,False
B1122,P1778,AI030,2025-05-02 11:37:36.951,CANCELLED,20B,False,413541438369bc20,,0,,False
B1123,P1704,6F097,2025-09-23 11:37:36.951,CONFIRMED,8A,False,b85680f6034f124e,14525.48,2,0.0,True
B1124,P1846,6F129,2025-05-23 11:37:36.951,CANCELLED,5C,False,649223a267564f50,15753.68,3,1.0,True
B1125,P1729,6F181,2026-01-15 11:37:36.951,PENDING,27E,False,d8c76db2cf80c61c,,0,,False
B1126,P1114,AI072,2025-10-20 11:37:36.951,CONFIRMED,10E,False,9cd202385098d69f,,0,,False
B1127,P1579,SJ154,2025-06-29 11:37:36.951,PENDING,2E,False,4c4540ed0a3f56e5,,0,,False
B1128,P1298,AI031,2026-04-08 11:37:36.951,CONFIRMED,10D,False,26326fdfc9debde2,,0,,False
B1129,P1836,AI031,2025-09-18 11:37:36.951,PENDING,26F,False,553601a226f8b95a,12008.51,1,0.0,True
B1130,P1482,6F158,2025-12-26 11:37:36.951,CONFIRMED,34E,False,71c78bbfc960eb0c,,0,,False
B1131,P1396,6F184,2025-06-16 11:37:36.951,CANCELLED,1C,False,c2fa144984627410,3592.91,1,0.0,True
B1132,P1393,UK141,2025-06-20 11:37:36.951,CONFIRMED,10D,False,21793c415549452e,4677.7,3,1.0,True
B1133,P1074,6F168,2025-12-29 11:37:36.951,CANCELLED,23D,False,7438fa363f8731c2,14200.43,2,0.0,True
B1134,P1977,6F051,2025-07-28 11:37:36.951,CONFIRMED,34C,False,8a6e76b584710e0a,,0,,False
B1135,P1481,6F047,2025-12-02 11:37:36.951,CONFIRMED,20E,False,dd4b50c35a3d20b9,10501.09,1,0.0,True
B1136,P1102,UK156,2025-10-26 11:37:36.951,PENDING,28E,False,d23eb291a8226af6,2857.01,1,0.0,True
B1137,P1296,AI094,2025-09-01 11:37:36.951,PENDING,13E,False,615a7239baaa8ed4,10092.76,2,0.0,True
B1138,P1177,AI038,2025-07-14 11:37:36.951,PENDING,6C,False,a4aa57910e44053a,,0,,False
B1139,P1214,6F255,2026-01-19 11:37:36.951,CONFIRMED,29F,False,cd00ade3ca664254,6016.05,1,0.0,True
B1140,P1966,SJ025,2026-01-23 11:37:36.951,CONFIRMED,29D,False,3edb4625e649eb23,8447.38,2,1.0,True
B1141,P1314,SJ185,2025-10-28 11:37:36.951,CONFIRMED,9C,False,30c731db11864ffd,,0,,False
B1142,P1038,6F259,2026-01-21 11:37:36.951,CANCELLED,5C,False,85456c3cea910d58,4506.21,1,0.0,True
B1143,P1258,6F073,2026-04-07 11:37:36.951,CANCELLED,15A,False,fa8a72603bca6a80,6360.73,1,0.0,True
B1144,P1715,AI091,2025-09-26 11:37:36.951,CONFIRMED,6D,False,4498d857a4e772de,,1,1.0,True
B1145,P1006,6F191,2025-08-23 11:37:36.951,PENDING,15D,False,6516f10098619465,,0,,False
B1146,P1048,UK228,2025-08-30 11:37:36.951,PENDING,25A,False,994cad8919fccc47,,1,1.0,True
B1147,P1537,6F146,2026-03-25 11:37:36.951,PENDING,11E,False,7d0c97764c092960,,0,,False
B1148,P1160,6F068,2025-10-13 11:37:36.951,CONFIRMED,19A,False,6f595de9399bc0a1,,0,,False
B1149,P1868,SJ218,2026-01-08 11:37:36.951,PENDING,30F,False,d0024389b6d481ea,12393.75,2,0.0,True
B1150,P1175,UK083,2025-09-25 11:37:36.951,CONFIRMED,12A,False,cae81913cbdfbf01,12535.73,1,0.0,True
B1151,P1590,SJ007,2026-01-18 11:37:36.951,CANCELLED,29B,False,f89bbd07b28ff6d1,,1,1.0,True
B1152,P1001,AI077,2025-08-14 11:37:36.951,PENDING,27A,False,33f1db2cb6e5307e,,0,,False
B1153,P1894,UK017,2025-12-20 11:37:36.951,CANCELLED,8D,False,d723fbff49f781fd,5774.24,1,0.0,True
B1154,P1454,6F229,2026-02-17 11:37:36.951,PENDING,24A,False,e89296c31edbf206,9979.51,1,0.0,True
B1155,P1927,6F074,2025-10-08 11:37:36.951,CONFIRMED,6D,False,6ad0d5f62a74d464,,0,,False
B1156,P1643,SJ088,2026-03-25 11:37:36.951,CONFIRMED,5E,False,16ddb9efe8e7648c,3413.47,1,0.0,True
B1157,P1275,SJ167,2025-06-28 11:37:36.951,CONFIRMED,18B,False,56f8fe22151b50b7,7902.25,1,0.0,True
B1158,P1497,6F234,2025-07-20 11:37:36.951,CONFIRMED,22A,False,91561030b2ea69d3,14265.47,1,0.0,True
B1159,P1628,UK071,2025-12-10 11:37:36.951,PENDING,22F,False,a0e86f9535f38626,16962.75,3,1.0,True
B1160,P1675,AI178,2025-11-21 11:37:36.951,CANCELLED,29A,False,8173b2e9024b662e,5267.38,1,0.0,True
B1161,P1799,UK104,2025-11-14 11:37:36.951,CONFIRMED,12A,False,fce7144397badc2f,24640.24,3,0.0,True
B1162,P1027,AI146,2025-04-22 11:37:36.951,UNKNOWN,32D,True,38f321599251a7b5,,0,,False
B1163,P1332,SJ235,2025-11-10 11:37:36.951,CANCELLED,13D,False,1f46c2c725b4bc5b,,0,,False
B1164,P1000,6F209,2025-04-24 11:37:36.951,CONFIRMED,24A,False,7d1952b4fcf575b5,2684.77,1,0.0,True
B1165,P1187,AI129,2025-08-20 11:37:36.951,CANCELLED,2F,False,3a3ddf66f8125f9f,43097.99,4,0.0,True
B1166,P1055,SJ141,2026-01-23 11:37:36.951,CONFIRMED,34D,False,012ba99ada62c966,5530.81,1,0.0,True
B1167,P1546,SJ018,2026-02-02 11:37:36.951,CANCELLED,9F,False,55a870c158a59615,27299.79,3,0.0,True
B1168,P1111,UK120,2025-10-14 11:37:36.951,CANCELLED,11C,False,29491fc075b49961,5435.83,1,0.0,True
B1169,P1797,AI078,2025-11-15 11:37:36.951,CONFIRMED,11E,False,a7335df585be0f82,3795.6,1,0.0,True
B1170,P1309,AI079,2025-09-14 11:37:36.951,PENDING,15E,False,6a022b6823fa7dd2,,0,,False
B1171,P1035,UK087,2025-09-19 11:37:36.951,CANCELLED,21A,False,4014a017b9078584,23311.04,3,0.0,True
B1172,P1438,UK133,2026-01-17 11:37:36.951,CONFIRMED,8F,False,f16fec779f246690,25477.4,3,0.0,True
B1173,P1728,AI222,2025-06-01 11:37:36.951,CANCELLED,22E,False,883d474a47069b34,,1,1.0,True
B1174,P1591,6F049,2026-04-12 11:37:36.951,CANCELLED,19D,False,260f6754b1509d59,,1,1.0,True
B1175,P1825,6F105,2026-01-29 11:37:36.951,PENDING,27D,False,f0743e2309e5df2f,10654.9,1,0.0,True
B1176,P1594,SJ226,2025-04-17 11:37:36.951,CANCELLED,7C,False,d0ba191ec26a8109,,0,,False
B1177,P1576,SJ227,2025-07-29 11:37:36.951,CANCELLED,34D,False,49070305be41f02e,12412.89,1,0.0,True
B1178,P1324,6F034,2026-02-05 11:37:36.951,CONFIRMED,34E,False,fb135ae5dc15065e,,1,1.0,True
B1179,P1639,SJ078,2025-10-03 11:37:36.951,CONFIRMED,33D,False,b31454810d0c21c5,10619.52,3,0.0,True
B1180,P1306,AI240,2026-04-10 11:37:36.951,PENDING,22F,False,fa2c7fe254aa721c,,0,,False
B1181,P1533,SJ002,2026-03-29 11:37:36.951,CANCELLED,12E,False,e56583a260410146,,0,,False
B1182,P1727,AI044,2025-08-11 11:37:36.951,CANCELLED,3A,False,5087f40030951cf7,9005.88,1,0.0,True
B1183,P1618,UK076,2025-06-22 11:37:36.951,CANCELLED,8C,False,673ea26a4eb2717b,,0,,False
B1184,P1108,6F232,2025-08-01 11:37:36.951,PENDING,28E,False,c13b72eedf3134b6,,0,,False
B1185,P1371,SJ228,2025-08-16 11:37:36.951,CANCELLED,25E,False,bc84c32aa8b2a75e,13080.31,1,0.0,True
B1186,P1356,SJ074,2026-04-04 11:37:36.951,CONFIRMED,1B,False,369f02970492266c,,0,,False
B1187,P1180,UK229,2025-08-04 11:37:36.951,PENDING,7F,False,f3ab5ba67a55b2aa,6625.76,1,0.0,True
B1188,P1355,AI208,2026-04-04 11:37:36.951,CONFIRMED,6A,False,5e1fc924fb3130b8,,0,,False
B1189,P1675,AI019,2025-11-23 11:37:36.951,CONFIRMED,14F,False,d8c9c170359b25c3,,0,,False
B1190,P1067,6F029,2025-05-23 11:37:36.951,PENDING,12B,False,a4c3c18c6e75d3d2,,0,,False
B1191,P1291,6F018,2025-04-27 11:37:36.951,CONFIRMED,25B,False,4dac5c5b5c117fa8,,0,,False
B1192,P1691,AI059,2025-06-23 11:37:36.951,CANCELLED,7D,False,4d3838c55f834581,,1,1.0,True
B1193,P1180,AI159,2025-05-22 11:37:36.951,PENDING,13D,False,b10a690d1cc85b7d,,0,,False
B1194,P1465,6F091,2025-07-11 11:37:36.951,CONFIRMED,14F,False,d1ddca348539fb06,,0,,False
B1195,P1433,6F084,2025-07-20 11:37:36.951,CANCELLED,10B,False,716aff1ad0fc12e3,19224.28,2,0.0,True
B1196,P1463,UK170,2026-01-15 11:37:36.951,CANCELLED,20C,False,57e7f79cf146680a,,0,,False
B1197,P1680,UK212,2025-05-19 11:37:36.951,CONFIRMED,2E,False,953a6a7e044c6ed6,8876.86,1,0.0,True
B1198,P1913,SJ022,2025-06-16 11:37:36.951,UNKNOWN,29A,True,fa9d6998b54d58ba,1830.32,1,0.0,True
B1199,P1533,SJ075,2025-12-13 11:37:36.951,PENDING,30E,False,9d0588c10e8aa773,13499.52,2,0.0,True
B1200,P1065,UK177,2025-09-17 11:37:36.951,CONFIRMED,16B,False,1a6b451e625dde12,30813.57,3,0.0,True
B1201,P1020,UK206,2026-02-01 11:37:36.951,CANCELLED,3A,False,8c1503b986957a1a,7338.75,1,0.0,True
B1202,P1611,UK079,2025-04-29 11:37:36.951,CANCELLED,29C,False,aa65e0b0742e596c,1973.12,1,0.0,True
B1203,P1383,UK040,2025-06-21 11:37:36.951,CONFIRMED,3B,False,347c11ef20402f4e,12774.63,1,0.0,True
B1204,P1811,AI034,2025-07-25 11:37:36.951,CONFIRMED,30A,False,69fed3602b3a0a95,14106.07,1,0.0,True
B1205,P1614,UK034,2025-10-18 11:37:36.951,CONFIRMED,23F,False,0d93ce3d322aa239,10452.65,1,0.0,True
B1206,P1558,AI088,2025-07-02 11:37:36.951,CONFIRMED,13A,False,edb96a5a080c51c0,,0,,False
B1207,P1038,AI128,2025-06-11 11:37:36.951,PENDING,26A,False,29eae2cfc7702215,10823.99,1,0.0,True
B1208,P1284,SJ052,2025-07-22 11:37:36.951,UNKNOWN,9A,True,e7aa73bd437e3ea7,22071.57,2,0.0,True
B1209,P1821,AI233,2025-12-15 11:37:36.951,PENDING,3A,False,0f7d96d8137d4f72,10307.2,1,0.0,True
B1210,P1601,AI012,2026-01-20 11:37:36.951,PENDING,3C,False,1a475be9aab76657,,0,,False
B1211,P1596,AI084,2025-07-07 11:37:36.951,CONFIRMED,34A,False,65d90c0ca2124381,,0,,False
B1212,P1784,6F126,2025-07-08 11:37:36.951,PENDING,34B,False,b30ff3c46b5828ee,8421.62,1,0.0,True
B1213,P1335,SJ061,2025-06-16 11:37:36.951,CONFIRMED,2E,False,81f7bd765242deea,,0,,False
B1214,P1187,UK194,2025-08-14 11:37:36.951,UNKNOWN,23B,True,77596d5580c6f741,,0,,False
B1215,P1670,AI135,2025-08-08 11:37:36.951,CANCELLED,28C,False,644cbdbc2a904aaa,11951.15,2,0.0,True
B1216,P1242,6F238,2025-12-09 11:37:36.951,CONFIRMED,10A,False,efcd0c9bc982ebeb,19165.81,3,0.0,True
B1217,P1072,6F092,2026-03-19 11:37:36.951,CANCELLED,32C,False,0181d515c439a3b4,,0,,False
B1218,P1478,AI213,2025-11-13 11:37:36.951,PENDING,2D,False,0484ddeef0f5ba44,,0,,False
B1219,P1973,UK193,2026-02-15 11:37:36.951,CANCELLED,1B,False,9d921bc184098392,,0,,False
B1220,P1560,6F178,2026-04-04 11:37:36.951,PENDING,29C,False,006ada8ac7e574a4,11075.72,1,0.0,True
B1221,P1100,AI158,2026-03-06 11:37:36.951,CONFIRMED,19D,False,83ac42f86f1d6e32,18797.11,2,0.0,True
B1222,P1513,UK208,2026-03-30 11:37:36.951,PENDING,8A,False,1bfe7b092bb5c69e,,0,,False
B1223,P1755,6F056,2026-04-09 11:37:36.951,UNKNOWN,15A,True,a82f0290542345e8,1794.08,1,0.0,True
B1224,P1175,UK185,2025-10-26 11:37:36.951,CONFIRMED,1E,False,856a87660a9d30c7,,0,,False
B1225,P1237,AI163,2026-01-13 11:37:36.951,PENDING,4D,False,04b3b5fae3e383cc,3894.65,2,1.0,True
B1226,P1909,AI112,2025-08-23 11:37:36.951,CONFIRMED,15C,False,e259f124f36590ab,8968.11,1,0.0,True
B1227,P1058,AI227,2025-10-23 11:37:36.951,CANCELLED,12A,False,d1217b56bdd0d948,,1,1.0,True
